Stage Name Stage Name,Full Name Full Name,Korean Name Korean Name,K. Stage Name K. Stage Name,Date of Birth Date of Birth,Group Group,Country Country,Height Height,Weight Weight,Birthplace Birthplace,Gender Gender,Instagram Instagram
Shindong,Shin Donghee,신동희,신동,9/28/1985,Super Junior,South Korea,178,90,Mungyeong,M,
Eunhyuk,Lee Hyukjae,이혁재,은혁,4/4/1986,Super Junior,South Korea,176,58,Ilsan,M,
Siwon,Choi Siwon,최시원,시원,4/7/1986,Super Junior,South Korea,185,65,Seoul,M,
Donghae,Lee Donghae,이동해,동해,10/15/1986,Super Junior,South Korea,176,60,Mokpo,M,
Ryeowook,Kim Ryeowook,김려욱,려욱,6/21/1987,Super Junior,South Korea,175,58,Incheon,M,
Kyuhyun,Cho Kyuhyun,조규현,규현,2/3/1988,Super Junior,South Korea,180,68,Seoul,M,
Han Geng,Han Geng,한경,한경,2/9/1984,,China,181,66,Mudanjiang,M,
Kibum,Kim Kibum,김기범,기범,8/21/1987,,South Korea,179,58,Seoul,M,
Zhou Mi,Zhou Mi,조미,조미,4/19/1986,Super Junior-M,China,184,64,Wuhan,M,
Henry,Henry Lau,헨리 라우,헨리,10/11/1989,Super Junior-M,Canada,176,63,Toronto,M,
Onew,Lee Jinki,이진기,온유,12/14/1989,SHINee,South Korea,177,61,Gwangmyeong,M,
Jonghyun†,Kim Jonghyun,김종현,종현,4/8/1990,,South Korea,173,56,Seoul,M,
Key,Kim Kibum,김기범,키,9/23/1991,SHINee,South Korea,179,59,Daegu,M,
Minho,Choi Minho,최민호,민호,12/9/1991,SHINee,South Korea,181,60,Incheon,M,
Taemin,Lee Taemin,이태민,태민,7/18/1993,SHINee,South Korea,177,53,Seoul,M,
Xiumin,Kim Minseok,김민석,시우민,3/26/1990,EXO,South Korea,173,65,Guri,M,
Suho,Kim Junmyeon,김준면,수호,5/22/1991,EXO,South Korea,173,65,Seoul,M,
Lay,Zhang Yixing,장이씽,레이,10/7/1991,EXO,China,177,60,Changsa,M,
Baekhyun,Byun Baekhyun,변백현,백현,5/6/1992,EXO,South Korea,174,58,Wonmi,M,
Chen,Kim Jongdae,김종대,첸,9/21/1992,EXO,South Korea,173,64,Silheung,M,
Chanyeol,Park Chanyeol,박찬열,찬열,11/27/1992,EXO,South Korea,185,70,Seoul,M,
D.O.,Do Kyungsoo,도경수,디오,1/12/1993,EXO,South Korea,173,60,Gyeonggi,M,
Kai,Kim Jongin,김종인,카이,1/14/1994,EXO,South Korea,182,65,Suncheon,M,
Sehun,Oh Sehun,오세훈,세훈,4/12/1994,EXO,South Korea,181,63,Seoul,M,
Luhan,Lu Han,루한,루한,4/20/1990,,China,178,62,Haidian,M,
Kris,Wu Yifan,오역범,크리스,11/6/1990,,Canada,187,73,Guangzhou,M,
Tao,Hwang Zitao,황자도,타오,5/2/1993,,China,183,70,Qingdao,M,
Jinyoung,Jung Jinyoung,정진영,진영,11/18/1991,,South Korea,178,58,Chungju,M,
CNU,Shin Dongwoo,신동우,신우,6/16/1991,B1A4,South Korea,182,64,Seoul,M,
Sandeul,Lee Junghwan,이정환,산들,3/20/1992,B1A4,South Korea,178,62,Busan,M,
Baro,Cha Sunwoo,차선우,바로,9/5/1992,,South Korea,178,63,Gwangju,M,
Gongchan,Gong Chansik,공찬식,공찬,8/14/1993,B1A4,South Korea,181,60,Suncheon,M,
Yongguk,Bang Yongguk,방용국,용국,3/31/1990,B.A.P,South Korea,182,60,Incheon,M,
Himchan,Kim Himchan,김힘찬,힘찬,4/19/1990,B.A.P,South Korea,180,69,Seoul,M,
Daehyun,Jung Daehyun,정대현,대현,6/28/1993,B.A.P,South Korea,177,63,Busan,M,
Youngjae,Yoo Youngjae,유영재,영재,1/24/1994,B.A.P,South Korea,178,65,Seoul,M,
Jongup,Moon Jongup,문종업,종업,2/6/1995,B.A.P,South Korea,176,66,Seoul,M,
Zelo,Choi Junhong,최준홍,젤로,10/15/1996,B.A.P,South Korea,182,63,Mokpo,M,
Zico,Woo Jiho,우지호,지코,9/14/1992,Block B,South Korea,182,65,Seoul,M,
Taeil,Lee Taeil,이태일,태일,9/24/1990,Block B,South Korea,167,57,Seoul,M,
B-Bomb,Lee Minhyuk,이민혁,비범,12/14/1990,Block B,South Korea,178,60,Seoul,M,
Jaehyo,Ahn Jaehyo,안재효,재효,12/23/1990,Block B,South Korea,182,60,Busan,M,
U-Kwon,Kim Yukwon,김유권,유권,4/9/1992,Block B,South Korea,176,63,Suwon,M,
Park Kyung,Park Kyung,박경,박경,7/8/1992,Block B,South Korea,176,56,Seoul,M,
P.O,Pyo Jihoon,표지훈,피오,2/2/1993,Block B,South Korea,181,64,Seoul,M,
Doojoon,Yoon Doojoon,윤두준,두준,7/4/1989,Highlight,South Korea,177,66,Goyang,M,
Junhyung,Yong Junyung,용준형,준형,12/19/1989,Highlight,South Korea,178,64,Seoul,M,
Yoseob,Yang Yoseob,양요섭,요섭,1/5/1990,Highlight,South Korea,171,56,Seoul,M,
Gikwang,Lee Gikwang,이기광,기광,3/30/1990,Highlight,South Korea,171,58,Gwangju,M,
Dongwoon,Son Dongwoon,손동운,동운,6/6/1991,Highlight,South Korea,181,64,Busan,M,
Hyunseung,Jang Hyunseung,장현승,현승,9/3/1989,,South Korea,177,58,Suncheon,M,
Jin,Kim Seokjin,김석진,진,12/4/1992,BTS,South Korea,179,63,Gwacheon,M,
Suga,Min Yoongi,민윤기,슈가,3/9/1993,BTS,South Korea,176,59,Daegu,M,
J-Hope,Jung Hoseok,정호석,제이홉,2/18/1994,BTS,South Korea,177,65,Gwangju,M,
RM,Kim Namjoon,김남준,알엠,9/12/1994,BTS,South Korea,181,67,Ilsan,M,
Jimin,Park Jimin,박지민,지민,10/13/1995,BTS,South Korea,175,61,Busan,M,
V,Kim Taehyung,김태형,뷔,12/30/1995,BTS,South Korea,179,62,Daegu,M,
Jungkook,Jeon Jungkook,전정국,정국,9/1/1997,BTS,South Korea,178,66,Busan,M,
Sungkyu,Kim Sungkyu,김성규,성규,4/28/1989,Infinite,South Korea,178,62,Jeonju,M,
Dongwoo,Jang Dongwoo,장동우,동우,11/22/1990,Infinite,South Korea,171,58,Guri,M,
Woohyun,Nam Woohyun,남우현,우현,2/8/1991,Infinite,South Korea,176,52,Seoul,M,
Hoya,Lee Howon,이호원,호야,3/28/1991,,South Korea,178,60,Busan,M,
Sungyeol,Lee Sungyeol,이성열,성열,8/27/1991,Infinite,South Korea,183,59,Yongin,M,
L,Kim Myungsoo,김명수,엘,3/13/1992,Infinite,South Korea,180,60,Seoul,M,
Sungjong,Lee Sungjong,이성종,성종,9/3/1993,Infinite,South Korea,177,54,Gwangju,M,
N,Cha Hakyeon,차학연,엔,6/30/1990,VIXX,South Korea,180,65,Changwon,M,
Leo,Jung Taekwon,정택운,레오,11/10/1990,VIXX,South Korea,183,63,Seoul,M,
Ken,Lee Jaehwan,이재환,켄,4/6/1992,VIXX,South Korea,180,65,Seoul,M,
Ravi,Kim Wonsik,김원식,라비,2/15/1993,VIXX,South Korea,183,65,Seoul,M,
Hongbin,Lee Hongbin,이홍빈,홍빈,9/29/1993,VIXX,South Korea,181,62,Seoul,M,
Hyuk,Han Sanghyuk,한상혁,혁,7/5/1995,VIXX,South Korea,181,62,Daejeon,M,
Jun. K,Kim Minjun,김민준,준케이,1/15/1988,2PM,South Korea,180,68,Daegu,M,
Nichkhun,Nichkhun Horvejkul,닛차쿤 허라웻차꾼,닉쿤,6/24/1988,2PM,Thailand,180,64,California,M,
Taecyeon,Ok Taecyeon,옥택연,택연,12/27/1988,2PM,South Korea,185,76,Busan,M,
Wooyoung,Jang Wooyoung,장우영,우영,4/30/1989,2PM,South Korea,178,65,Busan,M,
Junho,Lee Junho,이준호,준호,1/25/1990,2PM,South Korea,178,67,Ilsan,M,
Chansung,Hwang Chansung,황찬성,찬성,2/11/1990,2PM,South Korea,184,75,Seoul,M,
Jeongkyun,Jeong Jeongkyun,정정균,정균,11/27/1987,,South Korea,180,60,,M,
Ron,Cheon Byeonghwa,천병화,론,1/22/1991,Bigflo,South Korea,183,62,,M,
Yoosung,Jeong Yoosung,정유성,유성,10/8/1992,,South Korea,175,52,,M,
Z-UK,Jeong Jaewook,정재욱,지욱,1/27/1993,,South Korea,174,62,,M,
HighTop,Lim Hyeontae,임현태,하이탑,3/19/1994,Bigflo,South Korea,178,60,,M,
Kichun,Hwang Kichun,황기천,기천,3/14/1992,,South Korea,179,63,,M,
Eunkwang,Seo Eunkwang,서은광,은광,11/22/1990,BtoB,South Korea,173,62,Yongin,M,
Minhyuk,Lee Minhyuk,이민혁,민혁,11/29/1990,BtoB,South Korea,173,61,Seoul,M,
Changsub,Lee Changsub,이창섭,창섭,2/26/1991,BtoB,South Korea,177,64,Suwon,M,
Hyunsik,Lim Hyunsik,임현식,현식,3/7/1992,BtoB,South Korea,177,66,Ilsan,M,
Peniel,Shin Donggeun,신동근,프니엘,3/10/1993,BtoB,South Korea,175,63,Chicago,M,
Ilhoon,Jung Ilhoon,정일훈,일훈,10/4/1994,BtoB,South Korea,176,64,Seoul,M,
Sungjae,Yook Sungjae,육성재,성재,5/2/1995,BtoB,South Korea,180,68,Yongin,M,
S.Coups,Choi Seungcheol,최승철,에스.쿱스,8/8/1995,Seventeen,South Korea,177,63,Daegu,M,
Wonwoo,Jeon Wonwoo,전원우,원우,7/17/1996,Seventeen,South Korea,180,57,Changwon,M,
Mingyu,Kim Mingyu,김민규,민규,4/6/1997,Seventeen,South Korea,185,65,Anyang,M,
Vernon,Choi Hansol,최한솔,버논,2/18/1998,Seventeen,USA,176,56,New York,M,
Woozi,Lee Jihoon,이지훈,우지,11/22/1996,Seventeen,South Korea,165,54,Busan,M,
Jeonghan,Yoon Jeonghan,윤정한,정한,10/4/1995,Seventeen,South Korea,175,54,Seoul,M,
Joshua,Hong Jisoo,홍지수,조슈아,12/30/1995,Seventeen,USA,176,63,Los Angeles,M,
DK,Lee Seongmin,이석민,도겸,2/18/1997,Seventeen,South Korea,178,68,Yongin,M,
Seungkwan,Boo Seungkwan,부승관,승관,1/16/1998,Seventeen,South Korea,172,58,Jeju,M,
Hoshi,Kwon Soonyoung,권순영,호시,6/15/1996,Seventeen,South Korea,178,63,Namyangju,M,
Jun,Weng Junhui,원쥔훼이,준,6/10/1996,Seventeen,China,180,63,Shenzen,M,
The8,Xu Minghao,쉬밍하오,디에잇,11/7/1997,Seventeen,China,175,53,Anshan,M,
Dino,Lee Chan,이찬,디노,2/11/1999,Seventeen,South Korea,167,54,Iksan,M,
Kyungil,Song Kyungil,송경일,경일,11/28/1987,HISTORY,South Korea,183,72,,M,
Dokyun,Na Dokyun,나도균,도균,2/11/1991,HISTORY,South Korea,184,65,Daejeon,M,
Sihyoung,Kim Sihyoung,김시형,시형,5/15/1992,HISTORY,South Korea,182,63,Busan,M,
Jaeho,Kim Jaeho,김재호,재호,9/17/1992,HISTORY,South Korea,174,58,,M,
Yijeong,Jang Yijeong,장이정,이정,9/10/1993,HISTORY,South Korea,173,58,Jinju,M,
Donghyun,Kim Donghyun,김동현,동현,2/12/1989,Boyfriend,South Korea,178,60,Seoul,M,
Hyunseong,Shim Hyunseong,심현성,현성,6/9/1993,Boyfriend,South Korea,178,58,Yeongcheon,M,
Jeongmin,Lee Jeongmin,이정민,정민,2/1/1994,Boyfriend,South Korea,173,60,Suwon,M,
Youngmin,Jo Youngmin,조영민,영민,4/24/1995,Boyfriend,South Korea,180,0,Anyang,M,
Kwangmin,Jo Kwangmin,조광민,광민,4/24/1995,Boyfriend,South Korea,180,0,Anyang,M,
Minwoo,No Minwoo,노민우,민우,7/31/1995,Boyfriend,South Korea,174,60,Anyang,M,
Seyoung,Lee Seyoung,이세영,세영,2/8/1990,CROSS GENE,South Korea,180,60,Busan,M,
Casper,Chu Xiaoxiang,저효상,캐스퍼,3/20/1991,CROSS GENE,China,176,66,Shanghai,M,
Shin,Shin Wonho,신원호,신,10/23/1991,CROSS GENE,South Korea,185,66,Seoul,M,
Takuya,Terada Takuya,테라다 타쿠야,타쿠야,3/18/1992,CROSS GENE,Japan,187,68,Moriya,M,
Sangmin,Kim Sangmin,김상민,상민,7/7/1992,CROSS GENE,South Korea,178,67,Jinju,M,
Yongseok,Kim Yongseok,김용석,용석,1/8/1993,CROSS GENE,South Korea,176,64,Seoul,M,
J.seph,Kim Taehyung,김태형,제이셉,6/21/1992,KARD,South Korea,0,0,,M,
BM,Matthew Kim,매튜김,비엠,10/20/1992,KARD,South Korea,0,0,,M,
Somin,Jeon Somin,전소민,소민,8/22/1996,KARD,South Korea,0,0,Seoul,F,
Jiwoo,Jeon Jiwoo,전지우,지우,10/4/1996,KARD,South Korea,0,0,,F,
Youngji,Hur Youngji,허영지,영지,8/30/1994,,South Korea,0,0,Goyang,F,
Gyuri,Park Gyuri,박규리,규리,5/21/1988,KARA,South Korea,0,0,Seoul,F,
Seungyeon,Han Seungyeon,한승연,승연,7/24/1988,KARA,South Korea,0,0,Seoul,F,
Hara†,Koo Hara,구하라,하라,1/13/1991,KARA,South Korea,0,0,Gwangju,F,
Nicole,Nicole Jung,정니콜,니콜,10/7/1991,,South Korea,0,0,Los Angeles,F,
Jiyoung,Kang Jiyoung,강지영,지영,1/18/1994,,South Korea,0,0,Paju,F,
Jinho,Jo Jinho,조진호,조진호,4/17/1992,PENTAGON,South Korea,0,0,,M,
Hui,Lee Hwitaek,이회택,후이,8/28/1993,PENTAGON,South Korea,0,0,,M,
Hongseok,Yang Hongseok,양홍석,홍석,4/17/1994,PENTAGON,South Korea,0,0,,M,
E'Dawn,Kim Hyojong,김효종,이던,6/1/1994,,South Korea,0,0,,M,
Shinwon,Go Shinwon,고신원,신원,12/11/1995,PENTAGON,South Korea,0,0,,M,
Yeo One,Yeon Changgu,여창구,여원,3/27/1996,PENTAGON,South Korea,0,0,,M,
Yan An,Yan An,옌안,옌안,10/25/1996,PENTAGON,China,0,0,Shanghai,M,
Yuto,Adachi Yuto,아다치 유토,유토,1/23/1998,PENTAGON,Japan,0,0,,M,
Kino,Kang Hyungku,강형구,키노,1/27/1998,PENTAGON,South Korea,0,0,,M,
Wooseok,Jeong Wooseok,정우석,우석,1/31/1998,PENTAGON,South Korea,0,0,,M,
Moonhee,Choi Moonhee,최문희,문희,4/15/1997,Bonus Baby,South Korea,167,0,,F,
Hayoon,Jung Hayoon,정하윤,하윤,11/21/1998,Bonus Baby,South Korea,163,0,,F,
Chaehyun,Kim Chaehyun,김채현,채현,11/29/1999,Bonus Baby,South Korea,163,0,,F,
Dayun,Kim Dayun,김다윤,다윤,11/20/2000,Bonus Baby,South Korea,164,0,,F,
Gaon,Beom Gaon,범가온,가온,3/9/2001,Bonus Baby,South Korea,163,0,,F,
Kongyoo,Kong Yoojin,공유진,공유,5/11/2001,Bonus Baby,South Korea,163,0,,F,
Chaekyung,Yoon Chaekyung,윤채경,채경,7/7/1996,APRIL,South Korea,160,45,Incheon,F,
Rachel,Sung Nayeon,성나연,레이첼,8/28/2000,APRIL,South Korea,0,0,,F,
Sohee,Kim Sohee,소희,김소희,1/20/1995,Nature,South Korea,162,41,Busan,F,
Lee Haein,Lee Haein,이해인,이해인,7/4/1992,I.B.I,South Korea,165,49,Changwon,F,
Lee Suhyun,Lee Suhyun,이수현,이수현,11/5/1996,I.B.I,South Korea,167,50,Ansan,F,
Han Hyeri,Han Hyeri,한혜리,한혜리,8/24/1997,I.B.I,South Korea,159,42,Gwangmyeong,F,soh_eee
Hyosung,Jun Hyoseong,전효성,효성,10/13/1989,SECRET,South Korea,0,0,Cheongju,F,secrettimehs
Hana,Jung Hana,정하나,하나,2/2/1990,SECRET,South Korea,0,0,Uljeongbu,F,
Jieun,Song Jieun,송지은,지은,5/5/1990,SECRET,South Korea,0,0,Seoul,F,secret_jieunssong
Sunhwa,Han Sunhwa,한선화,선화,10/6/1990,,South Korea,0,0,Busan,F,shh_daily
Heeyu,Choi Heejae,최희재,희유,6/30/1995,MIXX,South Korea,159,0,,F,
Mia,Son Hyunmi,손현미,미아,12/31/1997,MIXX,South Korea,174,0,,F,
Heejin,Jeon Heejin,전희진,희진,10/19/2000,LOONA,South Korea,0,0,Seongnam,F,
Hyunjin,Kim Hyunjin,김현진,현진,11/15/2000,LOONA,South Korea,0,0,Jeonju,F,
Haseul,Jo Haseul,조하슬,하슬,8/18/1997,LOONA,South Korea,0,0,Ansan,F,
Yeojin,Im Yeojin,임여진,여진,11/11/2002,LOONA,South Korea,0,0,Guro,F,
Handong,Han Dong,한동,한동,3/26/1996,Dreamcatcher,China,0,0,Wuhan,F,
Gahyeon,Lee Gahyeon,이가현,가현,2/3/1999,Dreamcatcher,South Korea,0,0,Seongnam,F,
Nayoung,Im Nayoung,임나영,나영,12/18/1995,Pristin,South Korea,171,51,Chungcheongham,F,
Roa,Kim Minkyung,김민경,로아,7/29/1997,Hinapia,South Korea,172,49,,F,
Yuha,Kang Kyungwon,강경원,유하,11/5/1997,Hinapia,South Korea,170,50,,F,
Eunwoo,Jeong Eunwoo,정은우,은우,7/1/1998,Hinapia,South Korea,167,48,,F,
Rena,Kang Yebin,강예빈,레나,10/19/1998,Hinapia,South Korea,162,49,,F,
Kyulkyung,Zhou Jieqiong,저우제충,결경,12/16/1998,Pristin,China,167,49,Taizhou,F,
Yehana,Kim Yewon,김예원,예하나,2/22/1999,Pristin,South Korea,0,0,Ilsan,F,
Sungyeon,Bae Sungyeon,배성연,성연,5/25/1999,Pristin,USA,0,0,California,F,
Xiyeon,Park Junghyun,박정현,시연,11/14/2000,Pristin,South Korea,164,51,,F,
Kyla,Kyla Massie,카일라 매시,카일라,12/26/2001,Pristin,USA,0,0,California,F,
Alice,Song Joohee,송주희,앨리스,3/21/1990,Hello Venus,South Korea,166,47,Wonju,F,jh.song_alice
Nara,Kwon Nara,권나라,나라,3/13/1991,Hello Venus,South Korea,172,52,Seongnam,F,hv_nara
Lime,Kim Hyerim,김혜림,라임,1/19/1993,Hello Venus,South Korea,169,50,,F,hv_lime
Seoyoung,Lee Seoyoung,이서영,서영,6/27/1994,Hello Venus,South Korea,164,50,,F,hv_seo0
Yooyoung,Lee Yooyoung,이유영,유영,1/23/1995,Hello Venus,South Korea,170,49,Suwon,F,hv_u0
Yeoreum,Ahn Chaeyeon,안채연,여름,6/4/1996,Hello Venus,South Korea,167,48,,F,
Eunice,Heo Sooyeon,허수연,유니스,9/2/1991,DIA,South Korea,166,49,Busan,F,
Huihyeon,Ki Huihyeon,기희현,희현,6/16/1995,DIA,South Korea,167,46,Namwon,F,
Jenny,Lee Soyul,이소율,제니,9/4/1996,,South Korea,165,47,Seoul,F,
Yebin,Baek Yebin,백예빈,예빈,7/13/1997,DIA,South Korea,164,43,Chuncheon,F,
Eunjin,Ahn Eunjin,안은진,은진,8/31/1997,,South Korea,170,49,Mokpo,F,
Chaeyeon,Jung Chaeyeon,정채연,채연,12/1/1997,DIA,South Korea,165,49,Suncheon,F,
Eunchae,Kwon Chaewon,권채원,은채,5/26/1999,DIA,South Korea,0,0,,F,
Taeil,Moon Taeil,문태일,태일,6/14/1994,NCT,South Korea,171,60,Seoul,M,
Taeyong,Lee Taeyong,이태용,태용,7/1/1995,NCT,South Korea,0,0,,M,
Doyoung,Kim Dongyoung,김동영,도영,2/1/1996,NCT,South Korea,0,0,Guri,M,
Ten,Chittaphon Leechaiyapornkul,칫따폰 리차이야뽄꾼,텐,2/27/1996,NCT,Thailand,0,0,Bangkok,M,
Jaehyun,Jung Yoonoh,정윤오,재현,2/14/1997,NCT,South Korea,0,0,Seoul,M,
Mark,Mark Lee,마크 리,마크,8/2/1999,NCT,Canada,0,0,Vancouver,M,
Johnny,John Seo,존 서,쟈니,2/9/1995,NCT,USA,0,0,Chicago,M,
Yuta,Nakamoto Yuta,나카모토 유타,유타,10/26/1995,NCT,Japan,0,0,Osaka,M,
Winwin,Dong Sicheng,뚱쓰청,윈윈,10/28/1997,NCT,China,0,0,Zhejiang,M,
Haechan,Lee Donghyuk,이동혁,해찬,6/6/2000,NCT,South Korea,0,0,,M,
Renjun,Hwang Renjun,황런쥔,런쥔,3/23/2000,NCT,China,0,0,Jilin,M,
Jeno,Lee Jeno,이제노,제노,4/23/2000,NCT,South Korea,0,0,,M,
Jaemin,Na Jaemin,나재민,재민,8/13/2000,NCT,South Korea,0,0,,M,
Chenle,Zhong Chenle,중천러,천러,11/22/2001,NCT,China,0,0,Shanghai,M,
Jisung,Park Jisung,박지성,지성,2/5/2002,NCT,South Korea,0,0,,M,
Soohyun,Shin Soohyun,신수현,수현,3/11/1989,U-KISS,South Korea,0,0,Pocheon,M,
Kiseop,Lee Kiseop,이기섭,기섭,1/17/1991,U-KISS,South Korea,0,0,Seongnam,M,
Eli,Ellison Kim,엘리슨 킴,일라이,3/13/1991,U-KISS,USA,0,0,Los Angeles,M,
Hoon,Yeo Hoonmin,여훈민,훈,8/16/1991,U-KISS,South Korea,0,0,Namyangju,M,
Kevin,Christopher Woo,크리스토퍼 우,케빈,11/25/1991,U-KISS,USA,0,0,Los Angeles,M,
Jun,Lee Junyoung,이준영,준,1/22/1997,U-KISS,South Korea,0,0,,M,
Seungho,Yang Seungho,양승호,승호,10/16/1987,MBLAQ,South Korea,0,0,Seoul,M,
G.O,Jung Byunghee,정병희,지오,11/6/1987,MBLAQ,South Korea,0,0,Changwon,M,
Mir,Bang Cheolyong,방철용,미르,3/10/1991,MBLAQ,South Korea,0,0,Bukhamyeon,M,
Lee Joon,Lee Changseon,이창선,이준,2/7/1988,,South Korea,0,0,Seoul,M,
Thunder,Park Sanghyun,박상현,천둥,10/7/1990,,South Korea,0,0,Busan,M,
C.A.P,Bang Minsoo,방민수,캡,11/4/1992,Teen Top,South Korea,0,0,Seongnam,M,
Chunji,Lee Chanhee,이찬희,천지,10/5/1993,Teen Top,South Korea,0,0,Seongnam,M,
L.Joe,Lee Byunghun,이병헌,엘조,11/23/1993,,South Korea,0,0,Gunsan,M,
Niel,Ahn Daniel,안다니엘,니엘,8/16/1994,Teen Top,South Korea,0,0,Anyang,M,
Ricky,Yoo Changhyun,유창현,리키,2/27/1995,Teen Top,South Korea,0,0,Seoul,M,
Changjo,Choi Jonghyun,최종현,창조,11/16/1995,Teen Top,South Korea,0,0,Chuncheon,M,
MJ,Kim Myungjun,김명준,엠제이,3/5/1994,ASTRO,South Korea,0,0,Nowon,M,
Jin Jin,Park Jinwoo,박진우,진진,3/15/1996,ASTRO,South Korea,0,0,Nowon,M,
Eunwoo,Cha Eunwoo,차은우,은우,3/30/1997,ASTRO,South Korea,0,0,Gunpo,M,
Moon Bin,Moon Bin,문빈,문빈,1/26/1998,ASTRO,South Korea,0,0,Cheongju,M,
Rocky,Park Minhyuk,박민혁,라키,2/25/1999,ASTRO,South Korea,0,0,Jinju,M,
Sanha,Yoon Sanha,윤산하,산하,3/21/2000,ASTRO,South Korea,0,0,Seoul,M,
Kevin,Kevin Jiyeop Kim,케빈 지엽 킴,케빈,2/23/1988,ZE:A,South Korea,0,0,Sydney,M,
Kwanghee,Hwang Kwanghee,황광희,광희,8/25/1988,ZE:A,South Korea,0,0,Paju,M,
Siwan,Yim Siwan,임시완,시완,12/1/1988,ZE:A,South Korea,0,0,Busan,M,
Lee Hoo,Moon Junyoung,문준영,,2/9/1989,ZE:A,South Korea,0,0,Seoul,M,
Taeheon,Kim Taeheon,김태헌,태헌,6/18/1989,ZE:A,South Korea,0,0,Gwangju,M,
Heechul,Jung Heechul,정희철,희철,12/9/1989,ZE:A,South Korea,0,0,Jeju,M,
Minwoo,Ha Minwoo,하민우,민우,9/6/1990,ZE:A,South Korea,0,0,Yangsan,M,
Hyungsik,Park Hyungsik,박형식,형식,11/16/1991,ZE:A,South Korea,0,0,Yongin,M,
Dongjun,Kim Dongjun,김동준,동준,2/11/1992,ZE:A,South Korea,0,0,Busan,M,
Shownu,Son Hyunwoo,손현우,셔누,6/18/1992,MONSTA X,South Korea,0,0,,M,
Wonho,Shin Hoseok,신호석,원호,3/1/1993,,South Korea,0,0,Anyang,M,
Minhyuk,Lee Minhyuk,이민혁,민혁,11/3/1993,MONSTA X,South Korea,0,0,,M,
Kihyun,Yoo Kihyun,유기현,기현,11/22/1993,MONSTA X,South Korea,0,0,Goyang,M,
Hyungwon,Chae Hyungwon,채형원,형원,1/15/1994,MONSTA X,South Korea,0,0,Gwangju,M,
Jooheon,Lee Jooheon,이주헌,주헌,10/6/1994,MONSTA X,South Korea,0,0,Daegu,M,
I.M,Lim Changkyun,임창균,아이엠,1/26/1996,MONSTA X,South Korea,0,0,Gwangju,M,
Rain,Jung Jihoon,정지훈,비,6/25/1982,,South Korea,0,0,Seosan,M,
PSY,Park Jaesang,박재상,싸이,12/31/1977,,South Korea,0,0,Seoul,M,
Gunwoo,Lee Gunwoo,이건우,건우,1/30/1989,MYNAME,South Korea,0,0,Daejeon,M,
Insoo,Kang Insoo,강인수,인수,3/10/1988,MYNAME,South Korea,0,0,Suwon,M,
Seyong,Kim Seyong,김세용,세용,11/20/1991,MYNAME,South Korea,0,0,Busan,M,
JunQ,Kang Junkyu,강준규,준규,8/9/1993,MYNAME,South Korea,0,0,Uljeongbu,M,
Chaejin,Chae Jinseok,채진석,채진,12/26/1995,MYNAME,South Korea,0,0,Seoul,M,
Chungha,Kim Chungha,김청하,청하,2/9/1996,,South Korea,0,0,Dallas,F,
Sohye,Kim Sohye,김소혜,소혜,7/19/1999,,South Korea,0,0,Seoul,F,
Yoojung,Choi Yoojung,최유정,유정,11/12/1999,Weki Meki,South Korea,0,0,Guri,F,
Doyeon,Kim Doyeon,김도연,도연,12/4/1999,Weki Meki,South Korea,0,0,Incheon,F,
Somi,Jeon Somi,전소미,소미,3/9/2001,,South Korea,0,0,Ontario,F,
Jinu,Kim Jinwoo,김진우,진우,9/26/1991,WINNER,South Korea,0,0,Imja,M,
Hoony,Lee Seunghoon,이승훈,승훈,1/11/1992,WINNER,South Korea,0,0,Busan,M,
Yoon,Kang Seungyoon,강승윤,승윤,1/21/1994,WINNER,South Korea,0,0,Busan,M,
Mino,Song Minho,송민호,민호,3/30/1993,WINNER,South Korea,0,0,Yongin,M,
Taehyun,Nam Taehyun,남태현,태현,5/10/1994,,South Korea,0,0,Hanam,M,
B.I,Kim Hanbin,김한빈,비아이,10/22/1996,,South Korea,0,0,Goyang,M,
Jay,Kim Jinhwan,김진환,제이,2/7/1994,iKON,South Korea,0,0,Jeju,M,
Song,Song Yunhyeong,송윤형,송,2/8/1995,iKON,South Korea,0,0,,M,
Bobby,Kim Jiwon,김지원,바비,12/21/1995,iKON,South Korea,0,0,Seoul,M,
DK,Kim Donghyuk,김동혁,디케이,1/3/1997,iKON,South Korea,0,0,,M,
Ju-ne,Koo Junhoe,구준회,준회,3/31/1997,iKON,South Korea,0,0,Seoul,M,
Chan,Jung Chanwoo,정찬우,찬,1/26/1998,iKON,South Korea,0,0,Yongin,M,
I,Cha Yoonji,차윤지,아이,12/2/1996,,South Korea,0,0,Busan,F,
Jae,Park Jaehyung,박제형,제이,9/15/1992,DAY6,South Korea,0,0,Buenos Aires,M,
Sungjin,Park Sungjin,박성진,성진,1/16/1993,DAY6,South Korea,0,0,,M,
Young K,Kang Young-hyun,강영현,영케이,12/19/1993,DAY6,South Korea,0,0,,M,
Wonpil,Kim Wonpil,김원필,원필,4/28/1994,DAY6,South Korea,0,0,,M,
Dowoon,Yoon Dowoon,윤도운,도운,8/25/1995,DAY6,South Korea,0,0,,M,
Junhyeok,Kim Junhyeok,임준혁,준혁,7/17/1993,,South Korea,0,0,,M,
Yonghwa,Jung Yonghwa,정용화,용화,6/22/1989,CNBLUE,South Korea,0,0,Seoul,M,
