Stage.Name;Group;ig_name;Followers;Gender.x;Full.Name;Korean.Name;K.Stage.Name;Date.of.Birth;Debut;Company;Country;Height;Weight;Gender.y;age;year.career
Junhyung;HIGHLIGHT;bigbadboii;2585421;Boy;Yong Junyung;용준형;준형;19.12.1989;14.10.2009;Around Us;South Korea;178;64;M;33;13
Kaeun;AFTER SCHOOL;by.gaeun;290206;Girl;Lee Kaeun;이가은;가은;20.08.1994;15.01.2009;Pledis;South Korea;NA;NA;F;28;14
Kai;EXO;zkdlin;14619606;Boy;Kim Jongin;김종인;카이;14.01.1994;08.04.2012;SM;South Korea;182;65;M;29;11
Karin;ALICE;karinnyday;2278;Girl;Min Karin;민가린;가린;05.01.2002;01.07.2017;IOK Company;South Korea;NA;NA;F;21;6
Kazuha;LE SSERAFIM;k_a_z_u_h_a__;4765820;Girl;Nakamura Kazuha;나카무라 카즈하;카즈하;09.08.2003;02.05.2022;Source;Japan;174;NA;F;19;1
Kei;LOVELYZ;_flower_kei;132302;Girl;Kim Jiyeon;김지연;케이;20.03.1995;17.11.2014;Woollim;South Korea;162;47;F;28;8
Ken;VIXX;keken_0406;911079;Boy;Lee Jaehwan;이재환;켄;06.04.1992;24.05.2012;Jellyfish;South Korea;180;65;M;31;11
Keumjo;9MUSES;keumjo_1217;99881;Girl;Lee Keumjo;이금조;금조;17.12.1992;12.08.2010;Star Empire;South Korea;167;48;F;30;12
Key;SHINEE;bumkeyk;9641860;Boy;Kim Kibum;김기범;키;23.09.1991;25.05.2008;SM;South Korea;179;59;M;31;15
Kihyun;MONSTA X;yookihhh;1688597;Boy;Yoo Kihyun;유기현;기현;22.11.1993;14.05.2014;Starship;South Korea;NA;NA;M;29;9
Kim Lip;LOONA;kimxxlip;265786;Girl;Kim Jungeun;김정은;김립;10.02.1999;20.08.2018;Blockberry;South Korea;NA;NA;F;24;4
Krystal;F(X);vousmevoyez;10563163;Girl;Krystal Jung;크리스탈 정;크리스탈;24.10.1994;05.09.2009;SM;South Korea;165;NA;F;28;13
Kwangmin;BOYFRIEND;kmboykm;116457;Boy;Jo Kwangmin;조광민;광민;24.04.1995;26.05.2011;Starship;South Korea;180;NA;M;28;12
Kyuhyun;SUPER JUNIOR;gyuram88;2048308;Boy;Cho Kyuhyun;조규현;규현;03.02.1988;06.11.2005;SM;South Korea;180;68;M;35;17
Kyungri;9MUSES;gyeongree;636777;Girl;Park Kyungri;박경리;경리;05.07.1990;12.08.2010;Star Empire;South Korea;170;50;F;33;12
L;INFINITE;kim_msl;3327774;Boy;Kim Myungsoo;김명수;엘;13.03.1992;09.06.2010;Woollim;South Korea;180;60;M;31;13
Lay;EXO;layzhang;14251685;Boy;Zhang Yixing;장이씽;레이;07.10.1991;08.04.2012;SM;China;177;60;M;31;11
LE;EXID;x_xellybabyx;941816;Girl;Ahn Hyejin;안효진;엘리;10.12.1991;16.02.2012;Yedang;South Korea;168;NA;F;31;11
Leeteuk;SUPER JUNIOR;xxteukxx;5251060;Boy;Park Jeongsu;박정수;이특;01.07.1983;06.11.2005;SM;South Korea;179;59;M;40;17
Lena;GWSN;lafindavril;8063;Girl;Kang Rena;강레나;레나;17.04.2002;05.09.2018;Kiwi Pop;South Korea;NA;NA;F;21;4
Leo;VIXX;leo_jungtw;1146669;Boy;Jung Taekwon;정택운;레오;10.11.1990;24.05.2012;Jellyfish;South Korea;183;63;M;32;11
Lime;HELLO VENUS;hv_juhwa;79214;Girl;Kim Hyerim;김혜림;라임;19.01.1993;09.05.2012;Fantagio;South Korea;169;50;F;30;11
Lisa;BLACKPINK;lalalalisa_m;93337766;Girl;Pranpriya Manoban;쁘란쁘리야 마노반;리사;27.03.1997;08.08.2016;YG;Thailand;170;46;F;26;6
Lou;VAV;lou.vav;307665;Boy;Kim Hosung;김호성;로우;21.12.1996;31.10.2015;A team;South Korea;187;69;M;26;7
Lua;WEKI MEKI;soo_kyungyi;135851;Girl;Kim Sookyung;김수경;루아;06.10.2000;08.08.2017;Fantagio;South Korea;NA;NA;F;22;5
Lucy;WEKI MEKI;ee.hyojeong;122293;Girl;Noh Hyojung;노효정;루시;31.08.2002;08.08.2017;Fantagio;South Korea;NA;NA;F;20;5
Luda;WJSN;e_lludda;554997;Girl;Lee Luda;이루다;루다;06.03.1997;25.02.2016;Starship;South Korea;157;NA;F;26;7
Luna;F(X);hermosavidaluna;1516689;Girl;Park Sunyoung;박선영;루나;12.08.1993;05.09.2009;SM;South Korea;162;NA;F;29;13
Mark;GOT7;mark_tuan;13765664;Boy;Mark Yien Tuan;마크 이엔 투안;마크;04.09.1993;16.01.2014;JYP;USA;175;59;M;29;9
Mark;NCT;onyourm__ark;11345668;Boy;Mark Lee;마크 리;마크;02.08.1999;09.04.2016;SM;Canada;NA;NA;M;23;7
May;CHERRY BULLET;ma0_may;73732;Girl;Hirokawa Mao;히로카와 마오;메이;16.11.2004;21.01.2019;FNC;Japan;NA;NA;F;18;4
Mijoo;LOVELYZ;queen.chu_s;536028;Girl;Lee Mijoo;이미주;미주;23.09.1994;17.11.2014;Woollim;South Korea;167;47;F;28;8
Mimi;GUGUDAN;mimi01o1;66938;Girl;Jung Mimi;정미미;미미;01.01.1993;28.06.2016;Jellyfish;South Korea;163;NA;F;30;7
Mimi;OH MY GIRL;mimmiiiya;684661;Girl;Kim Mihyun;김미현;미미;01.05.1995;21.04.2015;WM;South Korea;163;50;F;28;8
Mina;GUGUDAN;_happiness_o;1241751;Girl;Kang Mina;강미나;미나;04.12.1999;28.06.2016;Jellyfish;South Korea;162;48;F;23;7
Mina;TWICE;mina_sr_my;8317566;Girl;Myoui Mina;묘이 미나;미나;24.03.1997;20.10.2015;JYP;Japan;163;NA;F;26;7
Minah;GIRL'S DAY;bbang_93;1503250;Girl;Bang Minah;방민아;민아;13.05.1993;09.07.2010;DreamT;South Korea;165;47;F;30;13
Mingyu;SEVENTEEN;min9yu_k;9406795;Boy;Kim Mingyu;김민규;민규;06.04.1997;26.05.2015;Pledis;South Korea;185;65;M;26;8
Minho;SHINEE;choiminho_1209;3303247;Boy;Choi Minho;최민호;민호;09.12.1991;25.05.2008;SM;South Korea;181;60;M;31;15
Minhyuk;BTOB;hutazone;1998207;Boy;Lee Minhyuk;이민혁;민혁;29.11.1990;21.03.2012;Cube;South Korea;173;61;M;32;11
Minhyuk;MONSTA X;go5rae;1399377;Boy;Lee Minhyuk;이민혁;민혁;03.11.1993;14.05.2014;Starship;South Korea;NA;NA;M;29;9
Minhyun;NU'EST;optimushwang;5726329;Boy;Hwang Minhyun;황민현;민현;09.08.1995;15.03.2012;Pledis;South Korea;NA;NA;M;27;11
Minjae;SONAMOO;minjae_1218;12561;Girl;Seong Minjae;성민재;민재;18.12.1994;29.12.2014;TS;South Korea;165;NA;F;28;8
Minjae;TAHITI;tahiti_minjae;14126;Girl;Shin Minjae;신민재;민재;13.08.1991;23.06.2012;J-line;South Korea;NA;NA;F;31;11
Minju;GWSN;minjujuuu;954;Girl;Kang Minjoo;강민주;민주;11.03.2001;05.09.2018;Kiwi Pop;South Korea;NA;NA;F;22;4
Minnie;(G)I-DLE;min.nicha;5615380;Girl;Nicha Yontararak;니차 욘타라락;민니;23.10.1997;02.05.2018;Cube;Thailand;NA;NA;F;25;5
Mino;WINNER;realllllmino;6264461;Boy;Song Minho;송민호;민호;30.03.1993;12.08.2014;YG;South Korea;NA;NA;M;30;8
Minpyo;B.I.G;good_minpyo;60639;Boy;Gook Minpyo;국민표;민표;15.11.1994;09.07.2014;GH;South Korea;173;57;M;28;9
Minsu;BOYS REPUBLIC;ejrtjsdl12;50368;Boy;Park Minsu;김민수;민수;15.04.1993;03.06.2013;Happy Tribe| Universal;South Korea;172;55;M;30;10
Minwoo;BOYFRIEND;boyminwoo_;229596;Boy;No Minwoo;노민우;민우;31.07.1995;26.05.2011;Starship;South Korea;174;60;M;27;12
Minyoung;BRAVE GIRLS;nyong2ya;664093;Girl;Kim Minyeong;김민영;민영;12.09.1990;08.04.2011;Brave;South Korea;NA;NA;F;32;12
Miryo;BROWN EYED GIRLS;miryoakajohoney;80632;Girl;Jo Mihye;조미혜;미료;02.11.1981;02.03.2006;Mystic;South Korea;NA;NA;F;41;17
Miya;GWSN;___38kcal___;18352;Girl;Miyauchi Haruka;미야우치 하루카;미야;26.05.1993;05.09.2018;Kiwi Pop;Japan;NA;NA;F;30;4
Miyeon;(G)I-DLE;noodle.zip;3582981;Girl;Jo Miyeon;조미연;미연;31.01.1997;02.05.2018;Cube;South Korea;NA;NA;F;26;5
MJ;ASTRO;mj_7.7.7;3068910;Boy;Kim Myungjun;김명준;엠제이;05.03.1994;23.02.2016;Fantagio;South Korea;NA;NA;M;29;7
Momo;TWICE;momo;11504255;Girl;Hirai Momo;히라이 모모;모모;09.11.1996;20.10.2015;JYP;Japan;167;NA;F;26;7
Momoka;PINK FANTASY;momoka_official_pf;9076;Girl;Matsuda Momoka;마쓰다 모모카;모모카;26.12.2000;28.10.2018;My Doll;Japan;152;NA;F;22;4
Moonbyul;MAMAMOO;mo_onbyul;5093547;Girl;Moon Byulyi;문별이;문별;22.12.1992;18.06.2014;RBW;South Korea;165;45;F;30;9
N;VIXX;achahakyeon;1861221;Boy;Cha Hakyeon;차학연;엔;30.06.1990;24.05.2012;Jellyfish;South Korea;180;65;M;33;11
Nako;IZ*ONE;75_yabuki;1585101;Girl;Yabuki Nako;야부키 나코;나코;18.06.2001;29.10.2018;Off The Record;Japan;NA;NA;F;22;4
Namjoo;APINK;sarangdungy;826278;Girl;Kim Namjoo;김남주;남주;15.04.1995;19.04.2011;Plan A;South Korea;165;NA;F;28;12
Nana;AFTER SCHOOL;jin_a_nana;3933462;Girl;Im Jinah;임진아;나나;14.09.1991;15.01.2009;Pledis;South Korea;NA;NA;F;31;14
Nancy;MOMOLAND;nancyjewel_mcdonie_;3427748;Girl;Nancy Mcdonie;낸시 맥다니;낸시;13.04.2000;09.11.2016;Double Kick;South Korea;162;45;F;23;6
Nara;HELLO VENUS;hv_nara;1495340;Girl;Kwon Nara;권나라;나라;13.03.1991;09.05.2012;Fantagio;South Korea;172;52;F;32;11
Nari;WASSUP;kimnaris;29212;Girl;Kim Nari;김나리;나리;05.10.1992;07.08.2013;Mafia;South Korea;NA;NA;F;30;9
Narsha;BROWN EYED GIRLS;narsha81;119089;Girl;Park Hyojin;박효진;나르샤;28.12.1981;02.03.2006;Mystic;South Korea;NA;NA;F;41;17
Nayeon;TWICE;nayeonyny;10757436;Girl;Im Nayeon;임나연;나연;22.09.1995;20.10.2015;JYP;South Korea;163;NA;F;27;7
Nayoung;GUGUDAN;kny_951123;90254;Girl;Kim Nayoung;김나영;나영;23.11.1995;28.06.2016;Jellyfish;South Korea;169;50;F;27;7
Nayun;MOMOLAND;nayun_nannie;368938;Girl;Kim Nayun;김나윤;나윤;31.07.1998;09.11.2016;Double Kick;South Korea;167;48;F;24;6
New Sun;SONAMOO;wwww.new_world;16043;Girl;Choi Yoonsun;최윤선;뉴썬;19.06.1997;29.12.2014;TS;South Korea;172;NA;F;26;8
Nichkhun;2PM;khunsta0624;1423661;Boy;Nichkhun Horvejkul;닛차쿤 허라웻차꾼;닉쿤;24.06.1988;04.07.2008;JYP;Thailand;180;64;M;35;15
Onejunn;BOYS REPUBLIC;onejunn;35983;Boy;Jo Wonjun;조원준;원준;22.11.1988;03.06.2013;Happy Tribe| Universal;South Korea;179;61;M;34;10
Onew;SHINEE;dlstmxkakwldrl;2854748;Boy;Lee Jinki;이진기;온유;14.12.1989;25.05.2008;SM;South Korea;177;61;M;33;15
P.O;BLOCK B;pyojihoon_official;1232537;Boy;Pyo Jihoon;표지훈;피오;02.02.1993;15.04.2011;KQ;South Korea;181;64;M;30;12
Park Kyung;BLOCK B;qkrrud78;408199;Boy;Park Kyung;박경;박경;08.07.1992;15.04.2011;KQ;South Korea;176;56;M;31;12
Peniel;BTOB;btobpeniel;1138977;Boy;Shin Donggeun;신동근;프니엘;10.03.1993;21.03.2012;Cube;South Korea;175;63;M;30;11
Qri;T-ARA;qtfreet;639657;Girl;Lee Jihyun;이지현;큐리;12.12.1986;29.07.2009;MBK;South Korea;162;44;F;36;13
Rachel;APRIL;castlechel_0824;86639;Girl;Sung Nayeon;성나연;레이첼;28.08.2000;24.08.2015;DSP;South Korea;NA;NA;F;22;7
Raina;AFTER SCHOOL;raina_57;17675;Girl;Oh Hyerin;오혜린;레이나;07.05.1989;15.01.2009;Pledis;South Korea;NA;NA;F;34;14
Ravi;VIXX;ravithecrackkidz;1657143;Boy;Kim Wonsik;김원식;라비;15.02.1993;24.05.2012;Jellyfish;South Korea;183;65;M;30;11
Remi;CHERRY BULLET;remiland_;45323;Girl;Katsuno Rise;카츠노 리세;레미;26.04.2001;21.01.2019;FNC;Japan;NA;NA;F;22;4
Ren;NU'EST;glorypath;1250189;Boy;Choi Minki;최민기;렌;03.11.1995;15.03.2012;Pledis;South Korea;NA;NA;M;27;11
Renjun;NCT;yellow_3to3;7842916;Boy;Hwang Renjun;황런쥔;런쥔;23.03.2000;09.04.2016;SM;China;NA;NA;M;23;7
RM;BTS;rkive;43681931;Boy;Kim Namjoon;김남준;알엠;12.09.1994;13.06.2013;Big Hit;South Korea;181;67;M;28;10
Rocky;ASTRO;minhyuk202523;3126042;Boy;Park Minhyuk;박민혁;라키;25.02.1999;23.02.2016;Fantagio;South Korea;NA;NA;M;24;7
Rowoon;SF9;krwo_on;5274298;Boy;Kim Seokwoo;김석우;로운;07.08.1996;05.10.2016;FNC;South Korea;NA;NA;M;26;6
S.Coups;SEVENTEEN;sound_of_coups;5819916;Boy;Choi Seungcheol;최승철;에스.쿱스;08.08.1995;26.05.2015;Pledis;South Korea;177;63;M;27;8
Saebom;FAVORITE;hereiambom;2542;Girl;Kim Seyoung;김세영;새봄;13.01.1995;05.07.2017;Astory;South Korea;NA;NA;F;28;6
Saebom;NATURE;sae.rxxk;20307;Girl;Kim Saerok;김새록;새봄;30.01.1997;03.08.2018;n.CH;South Korea;NA;NA;F;26;4
Saerom;FROMIS_9;lsroom__;499444;Girl;Lee Saerom;이새롬;새롬;07.01.1997;24.01.2018;Off The Record;South Korea;NA;NA;F;26;5
Sakura;LE SSERAFIM;39saku_chan;7661574;Girl;Miyawaki Sakura;미야와키 사쿠라;사쿠라;19.03.1998;02.05.2022;Source;Japan;NA;NA;F;25;1
Sally;GUGUDAN;sally_lxning;109208;Girl;Liu Xiening;류셰닝;샐리;23.10.1996;28.06.2016;Jellyfish;China;NA;NA;F;26;7
Sana;TWICE;m.by__sana;9887725;Girl;Minatozaki Sana;미나토자키 사나;사나;29.12.1996;20.10.2015;JYP;Japan;168;NA;F;26;7
Sandeul;B1A4;sandoriganatanatda;205899;Boy;Lee Junghwan;이정환;산들;20.03.1992;19.04.2010;WM;South Korea;178;62;M;31;13
Sanha;ASTRO;ddana_yoon;3719191;Boy;Yoon Sanha;윤산하;산하;21.03.2000;23.02.2016;Fantagio;South Korea;NA;NA;M;23;7
Seea;PINK FANTASY;seea_official_md;20393;Girl;Kang Eunyoung;강은영;시아;21.08.1994;28.10.2018;My Doll;South Korea;160;43;F;28;4
Sehun;EXO;oohsehun;23425827;Boy;Oh Sehun;오세훈;세훈;12.04.1994;08.04.2012;SM;South Korea;181;63;M;29;11
Sehyung;BERRY GOOD;kkangsse;57287;Girl;Kang Sehyung;강세형;세형;13.12.1998;21.05.2014;Asia Bridge;South Korea;169;NA;F;24;9
Sejeong;GUGUDAN;clean_0828;9965492;Girl;Kim Sejeong;김세정;세정;28.08.1996;28.06.2016;Jellyfish;South Korea;164;48;F;26;7
Sejun;VICTON;_nujes.0504_;472154;Boy;Lim Sejun;임세준;세준;04.05.1996;09.11.2016;Plan A;South Korea;NA;NA;M;27;6
Seokyoung;GWSN;seokyoungee;9352;Girl;Kim Seokyung;김서경;서경;16.04.1999;05.09.2018;Kiwi Pop;South Korea;NA;NA;F;24;4
Seola;WJSN;seola_s;761738;Girl;Kim Hyunjung;김현정;설아;24.12.1994;25.02.2016;Starship;South Korea;165;NA;F;28;7
Seolhyun;AOA;sh_9513;3777078;Girl;Kim Seolhyun;김설현;설현;03.01.1995;30.07.2012;FNC;South Korea;167;47;F;28;10
Seoryoung;GWSN;126.00_;773;Girl;Lee Seoryung;이서령;서령;26.01.2000;05.09.2018;Kiwi Pop;South Korea;NA;NA;F;23;4
Seoyeon;FROMIS_9;yeonyeony_122;433758;Girl;Lee Seoyeon;이서연;서연;22.01.2000;24.01.2018;Off The Record;South Korea;NA;NA;F;23;5
Seoyoung;HELLO VENUS;hv_seo0;36896;Girl;Lee Seoyoung;이서영;서영;27.06.1994;09.05.2012;Fantagio;South Korea;164;50;F;29;11
Seoyul;BERRY GOOD;y__s._.s__;70519;Girl;Seo Yuri;서유리;서율;26.11.1997;21.05.2014;Asia Bridge;South Korea;163;NA;F;25;9
Serri;DAL SHABET;shabet_serri;154746;Girl;Park Miyeon;박미연;세리;16.09.1990;03.01.2011;Happy Face;South Korea;NA;NA;F;32;12
Seulgi;RED VELVET;hi_sseulgi;12893342;Girl;Kang Seulgi;강슬기;슬기;10.02.1994;01.08.2014;SM;South Korea;162;NA;F;29;8
Seungeun;BVNDIT;s_seung_eun;11172;Girl;Shim Seungeun;심승은;승은;27.12.2000;10.04.2019;MNH;South Korea;NA;NA;F;22;4
Seunghee;CLC;ohseunghee_official_;370294;Girl;Oh Seunghee;오승희;승희;10.10.1995;19.03.2015;Cube;South Korea;163;NA;F;27;8
Seunghee;OH MY GIRL;hyun_maxiang;389735;Girl;Hyun Seunghee;현승희;승희;25.01.1996;21.04.2015;WM;South Korea;160;48;F;27;8
Seunghyub;N.FLYING;sssn9_zzzn9;491725;Boy;Lee Seunghyub;이승협;승협;31.10.1992;20.05.2015;FNC;South Korea;NA;NA;M;30;8
Seungkwan;SEVENTEEN;pledis_boos;5894890;Boy;Boo Seungkwan;부승관;승관;16.01.1998;26.05.2015;Pledis;South Korea;172;58;M;25;8
Seungmin;GOLDEN CHILD;bae_min_s2;14834;Boy;Bae Seungmin;배승민;승민;13.10.1998;28.08.2017;Woollim;South Korea;NA;NA;M;24;5
Seungwoo;VICTON;w_o_o_y_a;1313766;Boy;Han Seungwoo;한승우;승우;24.12.1994;09.11.2016;Plan A;South Korea;NA;NA;M;28;6
Seungyeon;CLC;seung_monkey;414544;Girl;Jang Seunyeon;장승연;승연;06.11.1996;19.03.2015;Cube;South Korea;163;NA;F;26;8
Shindong;SUPER JUNIOR;earlyboysd;2778683;Boy;Shin Donghee;신동희;신동;28.09.1985;06.11.2005;SM;South Korea;178;90;M;37;17
Shotaro;NCT;_shotaroo_;6215399;Boy;Osaki Shotaro;오사키 쇼타로;쇼타로;25.11.2000;09.04.2016;SM;Japan;NA;NA;M;22;7
Shuhua;(G)I-DLE;yeh.shaa_;3633778;Girl;Yeh Shuhua;예슈화;슈화;06.01.2000;02.05.2018;Cube;Taiwan;161;45;F;23;5
Sieun;CHECKMATE;fallin__see;4663;Girl;Lee Sieun;이시은;시은;19.09.1993;19.06.2012;Yedang;South Korea;163;NA;F;29;11
Sihyeon;ARIAZ;sihyeon_shine;2926;Girl;Kang Sihyeon;강시현;시현;15.07.1998;23.10.2019;Rising Star;South Korea;NA;NA;F;25;3
Simyeong;BVNDIT;s_i_meyong;8719;Girl;Lee Simyeong;이시명;시명;27.05.1999;10.04.2019;MNH;South Korea;NA;NA;F;24;4
SinB;VIVIZ;bscenez;1564528;Girl;Hwang Eunbi;황은비 ;신비;03.06.1998;09.02.2022;Big Planet Made;South Korea;165;NA;F;25;1
Siwon;SUPER JUNIOR;siwonchoi;8968317;Boy;Choi Siwon;최시원;시원;07.04.1986;06.11.2005;SM;South Korea;185;65;M;37;17
Siyeon;DREAMCATCHER;______s2ing;35207;Girl;Lee Siyeon;이시연;시연;01.10.1995;13.01.2017;Happy Face;South Korea;170;NA;F;27;6
Sohee;ALICE;s2k1m;446659;Girl;Kim Sohee;김소희;소희;31.12.1999;01.07.2017;IOK Company;South Korea;NA;NA;F;23;6
Sojin;9MUSES;josojin_1011;103712;Girl;Jo Sojin;조소진;소진;11.10.1991;12.08.2010;Star Empire;South Korea;170;47;F;31;12
Sojin;GIRL'S DAY;ssozi_sojin;829165;Girl;Park Sojin;박소진;소진;21.05.1986;09.07.2010;DreamT;South Korea;167;47;F;37;13
Sojung;LADIES' CODE;sojung.lc;89294;Girl;Lee Sojung;이소정;소정;03.09.1993;07.03.2013;Polaris;South Korea;NA;NA;F;29;10
Solar;MAMAMOO;solarkeem;3295954;Girl;Kim Yongsun;김용선;솔라;21.02.1991;18.06.2014;RBW;South Korea;163;43;F;32;9
Solbin;LABOUM;solbin0819;269126;Girl;Ahn Solbin;안솔빈;솔빈;19.08.1997;27.08.2014;NH;South Korea;169;52;F;25;8
Solji;EXID;soul.g_heo;1064462;Girl;Heo Solji;허솔지;솔지;10.01.1989;16.02.2012;Yedang;South Korea;170;NA;F;34;11
Somyi;DIA;somsom_o0o;92126;Girl;Ahn Somyi;안솜이;솜이;26.01.2000;14.07.2015;MBK;South Korea;NA;NA;F;23;8
Songhee;BVNDIT;ssong.h0;8737;Girl;Yoon Songhee;윤송희;송희;08.11.1998;10.04.2019;MNH;South Korea;NA;NA;F;24;4
Soobin;WJSN;soobly_s2;252157;Girl;Park Soobin;박수빈;수빈;14.09.1996;25.02.2016;Starship;South Korea;159;NA;F;26;7
Sorn;CLC;sssorn_chonnasorn;1590111;Girl;Chonnasorn Sajakul;촌나손 사짜꾼;손;18.11.1996;19.03.2015;Cube;Thailand;164;NA;F;26;8
Soso;GWSN;w.dy314;11408;Girl;Wang Chingyi;왕징이;소소;14.03.2001;05.09.2018;Kiwi Pop;Taiwan;NA;NA;F;22;4
Sowon;GFRIEND;onedayxne;1340087;Girl;Kim Sojung;김소정;소원;07.12.1995;15.01.2015;Source;South Korea;172;NA;F;27;8
Soyee;GUGUDAN;imsoyee;86818;Girl;Jang Sojin;장소진;소이;21.11.1996;28.06.2016;Jellyfish;South Korea;NA;NA;F;26;7
Soyeon;(G)I-DLE;tiny.pretty.j;3826310;Girl;Jeon Soyeon;전소연;소연;26.08.1998;02.05.2018;Cube;South Korea;157;42;F;24;5
Soyeon;LABOUM;lsoyeonb;92115;Girl;Jung Soyeon;정소연;소연;04.05.1994;27.08.2014;NH;South Korea;161;44;F;29;8
Sua;DREAMCATCHER;sualelbora;380287;Girl;Kim Bora;김보라;수아;10.08.1994;13.01.2017;Happy Face;South Korea;164;NA;F;28;6
Subin;DAL SHABET;dalsooobin;147784;Girl;Park Subin;박수빈;수빈;12.02.1994;03.01.2011;Happy Face;South Korea;NA;NA;F;29;12
Suho;EXO;kimjuncotton;10703170;Boy;Kim Junmyeon;김준면;수호;22.05.1991;08.04.2012;SM;South Korea;173;65;M;32;11
Sujeong;LOVELYZ;iloveryu._;17792;Girl;Ryu Sujeong;류수정;수정;19.11.1997;17.11.2014;Woollim;South Korea;168;48;F;25;8
Sujin;WASSUP;bbang_su;20452;Girl;Bang Sujin;방수진;수진;26.06.1996;07.08.2013;Mafia;South Korea;NA;NA;F;27;9
Sungjae;BTOB;yook_can_do_it;3784943;Boy;Yook Sungjae;육성재;성재;02.05.1995;21.03.2012;Cube;South Korea;180;68;M;28;11
Sungjong;INFINITE;ssongjjong.ifnt;51478;Boy;Lee Sungjong;이성종;성종;03.09.1993;09.06.2010;Woollim;South Korea;177;54;M;29;13
Sungjun;BOYS REPUBLIC;sungjun1217;83773;Boy;Park Sungjun;박성준;성준;17.12.1992;03.06.2013;Happy Tribe| Universal;South Korea;175;55;M;30;10
Sungyeol;INFINITE;leeseongyeol_1991;513914;Boy;Lee Sungyeol;이성열;성열;27.08.1991;09.06.2010;Woollim;South Korea;183;59;M;31;13
Suri;CHECKMATE;suri__kang;4778;Girl;Kang Suri;강수리;수리;11.10.1994;19.06.2012;Yedang;South Korea;168;NA;F;28;11
Suwoong;BOYS REPUBLIC;suwoong_95;252627;Boy;Lee Suwoong;이수웅;수웅;20.01.1995;03.06.2013;Happy Tribe| Universal;South Korea;174;56;M;28;10
Suyeon;WEKI MEKI;suye.on2di;165395;Girl;Ji Suyeon;지수연;수연;20.04.1997;08.08.2017;Fantagio;South Korea;NA;NA;F;26;5
Taecyeon;2PM;otaecyeonk;295195;Boy;Ok Taecyeon;옥택연;택연;27.12.1988;04.07.2008;JYP;South Korea;185;76;M;34;15
Taecyeon;2PM;taecyeonokay;3389254;Boy;Ok Taecyeon;옥택연;택연;27.12.1988;04.07.2008;JYP;South Korea;185;76;M;34;15
Taeil;BLOCK B;2taeil2;323605;Boy;Lee Taeil;이태일;태일;24.09.1990;15.04.2011;KQ;South Korea;167;57;M;32;12
Taeil;NCT;mo.on_air;5906526;Boy;Moon Taeil;문태일;태일;14.06.1994;09.04.2016;SM;South Korea;171;60;M;29;7
Taemin;SHINEE;lm_____ltm;5417723;Boy;Lee Taemin;이태민;태민;18.07.1993;25.05.2008;SM;South Korea;177;53;M;30;15
Taeyong;NCT;taeoxo_nct;10567442;Boy;Lee Taeyong;이태용;태용;01.07.1995;09.04.2016;SM;South Korea;NA;NA;M;28;7
TAG;GOLDEN CHILD;son_yt7;20396;Boy;Son Youngtaek;손영택;태그;13.04.1998;28.08.2017;Woollim;South Korea;NA;NA;M;25;5
The8;SEVENTEEN;xuminghao_o;6705619;Boy;Xu Minghao;쉬밍하오;디에잇;07.11.1997;26.05.2015;Pledis;China;175;53;M;25;8
Tzuyu;TWICE;thinkaboutzu;11024366;Girl;Chou Tzuyu;저우쯔위;쯔위;14.06.1999;20.10.2015;JYP;Taiwan;169;NA;F;24;7
U-Kwon;BLOCK B;uk_0530;111781;Boy;Kim Yukwon;김유권;유권;09.04.1992;15.04.2011;KQ;South Korea;176;63;M;31;12
Uchae;NATURE;milk.chae__;718;Girl;Yu Hyejun;유혜준;유채;07.05.2002;03.08.2018;n.CH;South Korea;NA;NA;F;21;4
Umji;VIVIZ;ummmmm_j.i;1632732;Girl;Kim Yewon;김예원;엄지;19.08.1998;09.02.2022;Big Planet Made;South Korea;163;NA;F;24;1
V;BTS;thv;58541265;Boy;Kim Taehyung;김태형;뷔;30.12.1995;13.06.2013;Big Hit;South Korea;179;62;M;27;10
Vernon;SEVENTEEN;chwenotchew;5894298;Boy;Choi Hansol;최한솔;버논;18.02.1998;26.05.2015;Pledis;USA;176;56;M;25;8
Victoria;F(X);victoria02_02;3242461;Girl;Song Qian;송치엔;빅토리아;02.02.1987;05.09.2009;SM;China;168;45;F;36;13
Vivi;LOONA;vivikhvv;219814;Girl;Wong Viian;황가희;비비;09.12.1996;20.08.2018;Blockberry;Hong Kong;NA;NA;F;26;4
Way;CRAYON POP;baysunny;11402;Girl;Heo Minsun;허민선;웨이;12.07.1990;18.07.2012;Chrome;South Korea;161;NA;F;33;11
Wendy;RED VELVET;todayis_wendy;7690631;Girl;Son Seunghwan;손승완;웬디;21.02.1994;01.08.2014;SM;South Korea;160;NA;F;29;8
Wheein;MAMAMOO;whee_inthemood;2538329;Girl;Jung Wheein;정휘인;휘인;17.04.1995;18.06.2014;RBW;South Korea;162;43;F;28;9
Winwin;NCT;wwiinn_7;8165210;Boy;Dong Sicheng;뚱쓰청;윈윈;28.10.1997;09.04.2016;SM;China;NA;NA;M;25;7
Wonpil;DAY6;kimwon.pil;1310038;Boy;Kim Wonpil;김원필;원필;28.04.1994;07.09.2015;JYP;South Korea;NA;NA;M;29;7
Wonwoo;SEVENTEEN;everyone_woo;5104706;Boy;Jeon Wonwoo;전원우;원우;17.07.1996;26.05.2015;Pledis;South Korea;180;57;M;27;8
